HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
generated_context	dblp:partOf	author_186474	0.5476
generated_context	dblp:hasDOI	author_590644	0.4771
generated_context	dblp:publishedIn	doi_410622	0.5442
generated_context	dblp:wrote	author_1073003	0.2327
generated_context	dblp:wrote	author_314740	0.2761
generated_context	dblp:inYear	link_88236	0.3006
generated_context	dblp:wrote	doi_60154	0.2484
generated_context	dblp:inYear	author_781895	0.2634
generated_context	dblp:hasDOI	pub_670169	0.4292
generated_context	dblp:hasLink	author_80782	0.2925
generated_context	dblp:hasAuthor	collection_5260	0.2688
generated_context	dblp:hasLink	author_463410	0.2376
generated_context	dblp:wrote	link_760813	0.2828
generated_context	dblp:hasDOI	author_627953	0.4544
generated_context	dblp:paperType	link_728981	0.2916
generated_context	dblp:inYear	author_226008	0.2822
generated_context	dblp:hasAuthor	link_57382	0.2365
generated_context	dblp:partOf	link_523514	0.5016
generated_context	dblp:hasAuthor	pub_816343	0.2200
generated_context	dblp:hasDOI	pub_727426	0.4209
generated_context	dblp:paperType	pub_518007	0.2979
generated_context	dblp:inYear	doi_642606	0.2662
generated_context	dblp:publishedIn	author_742533	0.5291
generated_context	dblp:hasDOI	doi_435483	0.3962
generated_context	dblp:inYear	link_527372	0.2212
generated_context	dblp:hasLink	doi_499344	0.3035
generated_context	dblp:hasDOI	pub_212210	0.4043
generated_context	dblp:paperType	author_739626	0.2848
generated_context	dblp:inYear	pub_202772	0.2967
generated_context	dblp:wrote	author_969064	0.2573
generated_context	dblp:hasDOI	author_1045466	0.4400
generated_context	dblp:hasAuthor	author_932064	0.2534
generated_context	dblp:wrote	pub_188489	0.1840
generated_context	dblp:hasLink	doi_221524	0.2700
generated_context	dblp:paperType	doi_55315	0.2964
generated_context	dblp:publishedIn	author_693631	0.5000
generated_context	dblp:paperType	link_69121	0.2905
generated_context	dblp:hasAuthor	link_81612	0.2365
generated_context	dblp:paperType	doi_341650	0.2921
generated_context	dblp:inYear	author_470414	0.2871
generated_context	dblp:hasDOI	author_561929	0.4146
generated_context	dblp:partOf	pub_155198	0.5218
generated_context	dblp:hasLink	link_799595	0.2590
generated_context	dblp:hasDOI	author_844498	0.4406
generated_context	dblp:hasLink	author_342294	0.3136
generated_context	dblp:hasDOI	author_379761	0.4667
generated_context	dblp:inYear	doi_661996	0.2940
generated_context	dblp:paperType	doi_819593	0.2898
generated_context	dblp:hasDOI	author_785223	0.5426
generated_context	dblp:paperType	author_379635	0.2708
generated_context	dblp:partOf	link_203889	0.5387
generated_context	dblp:inYear	pub_213510	0.2663
generated_context	dblp:hasLink	pub_124318	0.2962
generated_context	dblp:inYear	pub_471562	0.3155
generated_context	dblp:paperType	author_786410	0.3203
generated_context	dblp:wrote	author_259390	0.2741
generated_context	dblp:hasDOI	author_438917	0.4262
generated_context	dblp:hasLink	author_896409	0.3067
generated_context	dblp:publishedIn	pub_761537	0.5328
generated_context	dblp:hasLink	pub_515622	0.2530
generated_context	dblp:hasAuthor	pub_340425	0.2558
generated_context	dblp:hasLink	link_534537	0.2998
generated_context	dblp:paperType	author_119175	0.2613
generated_context	dblp:paperType	link_253060	0.2592
generated_context	dblp:hasAuthor	link_432973	0.2868
generated_context	dblp:hasAuthor	pub_422907	0.2322
generated_context	dblp:paperType	doi_763944	0.2593
generated_context	dblp:publishedIn	doi_577466	0.5624
generated_context	dblp:inYear	doi_212836	0.2889
generated_context	dblp:wrote	author_968932	0.2176
generated_context	dblp:partOf	link_477998	0.5410
generated_context	dblp:publishedIn	link_230419	0.6237
generated_context	dblp:partOf	author_396900	0.5057
generated_context	dblp:wrote	pub_971875	0.1860
generated_context	dblp:hasDOI	pub_275929	0.4287
generated_context	dblp:publishedIn	author_931997	0.5554
generated_context	dblp:hasAuthor	author_631517	0.2551
generated_context	dblp:hasDOI	doi_145582	0.4598
generated_context	dblp:hasAuthor	author_930673	0.2589
generated_context	dblp:wrote	link_667051	0.2078
generated_context	dblp:hasLink	year_37	0.2885
generated_context	dblp:publishedIn	pub_475764	0.5380
generated_context	dblp:wrote	doi_451656	0.2592
generated_context	dblp:hasLink	pub_237765	0.2382
generated_context	dblp:hasLink	author_534813	0.2560
generated_context	dblp:hasAuthor	pub_242087	0.2362
generated_context	dblp:hasLink	pub_498002	0.2462
generated_context	dblp:paperType	author_282067	0.2800
generated_context	dblp:wrote	link_290825	0.2369
generated_context	dblp:partOf	link_449577	0.5988
generated_context	dblp:wrote	pub_377303	0.2171
generated_context	dblp:partOf	link_507314	0.5074
generated_context	dblp:inYear	author_803586	0.2698
generated_context	dblp:hasLink	link_589879	0.2567
generated_context	dblp:hasLink	doi_188249	0.2847
generated_context	dblp:publishedIn	author_1050462	0.5372
generated_context	dblp:hasAuthor	link_336640	0.2473
generated_context	dblp:wrote	author_727308	0.2190
generated_context	dblp:publishedIn	author_657651	0.5220
generated_context	dblp:partOf	pub_836854	0.5594
generated_context	dblp:hasDOI	link_468700	0.4472
generated_context	dblp:wrote	pub_266028	0.2256
generated_context	dblp:inYear	doi_313079	0.2897
generated_context	dblp:publishedIn	doi_136166	0.6688
generated_context	dblp:hasLink	link_691739	0.2923
generated_context	dblp:wrote	pub_981605	0.2350
