HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
pub_39675	dblp:inYear	year_6	0.0533
pub_196168	dblp:publishedIn	venue_2556	0.0707
pub_293338	dblp:inYear	year_24	0.1096
pub_225924	dblp:publishedIn	venue_2569	0.0672
pub_419906	dblp:inYear	year_1	0.0687
pub_486554	dblp:publishedIn	venue_614	0.0633
author_362634	dblp:wrote	pub_418255	0.0580
pub_237374	dblp:hasAuthor	author_454381	0.0581
pub_164973	dblp:hasAuthor	author_401930	0.0620
author_227765	dblp:wrote	pub_295244	0.0458
pub_16742	dblp:inYear	year_15	0.1036
author_563791	dblp:wrote	pub_442766	0.0590
pub_111055	dblp:inYear	year_18	0.0755
pub_184976	dblp:hasAuthor	author_465030	0.0567
author_186158	dblp:wrote	pub_34643	0.0482
pub_244051	dblp:inYear	year_55	0.1183
author_408794	dblp:wrote	pub_290369	0.0386
pub_119063	dblp:publishedIn	venue_2328	0.1259
author_552515	dblp:wrote	pub_6595	0.0781
pub_434588	dblp:publishedIn	venue_2079	0.0832
pub_256020	dblp:publishedIn	venue_2229	0.0586
pub_183386	dblp:hasAuthor	author_559370	0.0616
pub_169518	dblp:inYear	year_31	0.1210
author_569729	dblp:wrote	pub_328540	0.0481
pub_36936	dblp:publishedIn	venue_1124	0.0591
pub_367519	dblp:hasAuthor	author_618095	0.0956
pub_445582	dblp:inYear	year_0	0.0707
pub_272846	dblp:publishedIn	venue_2707	0.0476
author_500976	dblp:wrote	pub_255924	0.0414
pub_315767	dblp:inYear	year_18	0.0701
author_419138	dblp:wrote	pub_414855	0.0430
pub_403295	dblp:inYear	year_16	0.0806
pub_376178	dblp:hasAuthor	author_574115	0.0554
pub_316987	dblp:publishedIn	venue_1775	0.0535
pub_274489	dblp:publishedIn	venue_490	0.0716
pub_241887	dblp:inYear	year_18	0.1008
author_151340	dblp:wrote	pub_285233	0.0682
pub_481269	dblp:inYear	year_37	0.1117
pub_276505	dblp:inYear	year_34	0.0869
pub_112412	dblp:hasAuthor	author_5839	0.0376
author_360402	dblp:wrote	pub_271090	0.0545
author_252428	dblp:wrote	pub_382726	0.0411
author_360533	dblp:wrote	pub_349749	0.0454
pub_225645	dblp:inYear	year_51	0.1285
pub_131551	dblp:inYear	year_7	0.0684
pub_48883	dblp:inYear	year_25	0.1202
pub_388978	dblp:hasAuthor	author_86077	0.0431
pub_456425	dblp:publishedIn	venue_2323	0.0776
pub_159286	dblp:inYear	year_6	0.0975
pub_21386	dblp:inYear	year_3	0.0741
pub_179080	dblp:hasAuthor	author_303701	0.0413
